	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
283	加味归芍散治疗肥胖型多囊卵巢综合征伴胰岛素抵抗痰湿瘀阻证临床研究	刘畅	北京中医药大学	硕士	2022	1	236	原版阅读      CNKI AI阅读
284	肥胖型多囊卵巢综合征中药用药规律研究及中药疗效优势的Meta分析	谷峥	北京中医药大学	硕士	2022	1	216	原版阅读      CNKI AI阅读
285	超重肥胖的高血压患者证型特点与血流动力学的相关性	姜斯佳	北京中医药大学	硕士	2022		163	原版阅读      CNKI AI阅读
286	健脾化痰法联合生活方式干预治疗肥胖型多囊卵巢综合征的临床研究	章菲燕	江西中医药大学	硕士	2022	6	537	原版阅读      CNKI AI阅读
287	健脾开郁方干预超重/肥胖糖尿病前期（脾虚痰湿证）的前瞻性队列研究	田美慧	长春中医药大学	硕士	2022	3	609	原版阅读      CNKI AI阅读
288	降浊开郁方干预超重/肥胖糖耐量异常（脾胃壅滞证）的临床研究	郑莲芳	长春中医药大学	硕士	2022	1	281	原版阅读      CNKI AI阅读
289	基于专家共识的超重或肥胖2型糖尿病前期中医诊疗规范的研究	李志浩	长春中医药大学	硕士	2022		533	原版阅读      CNKI AI阅读
290	运脾化浊法治疗单纯性肥胖的临床观察	安阳	长春中医药大学	硕士	2022	3	308	原版阅读      CNKI AI阅读
291	超重/肥胖糖尿病前期人群中医证候分布特点的研究	李博涵	长春中医药大学	硕士	2022	4	351	原版阅读      CNKI AI阅读
292	大学生肥胖人群的监控与干预的研究	孙卓雅	华中科技大学	硕士	2022		571	原版阅读      CNKI AI阅读
293	化痰除湿方对单纯性肥胖痰湿内盛证的临床研究	王新茹	云南中医药大学	硕士	2022		26	原版阅读      CNKI AI阅读
294	超重/肥胖人群中医证型分布特点与骨代谢相关指标的相关性分析	李沙沙	成都中医药大学	硕士	2022	1	70	原版阅读      CNKI AI阅读
295	针刺配合穴位贴敷治疗脾虚湿盛型单纯性肥胖的疗效观察	梁雪仪	广州中医药大学	硕士	2022	1	168	原版阅读      CNKI AI阅读
296	超重/肥胖人群湿证与人体成分相关性研究	康福琴	广州中医药大学	硕士	2022		95	原版阅读      CNKI AI阅读
297	超重/肥胖型与非肥胖型PCOS患者发病相关因素分析及中药用药规律初探	李欣	黑龙江中医药大学	硕士	2022	4	451	原版阅读      CNKI AI阅读
298	俞募埋线对肥胖2型糖尿病患者胰岛素抵抗的影响	王聪	陕西中医药大学	硕士	2022	6	240	原版阅读      CNKI AI阅读
299	黄连荷叶汤治疗肥胖型2型糖尿病湿热中阻证的临床观察	韩晓梅	南京中医药大学	硕士	2022	4	360	原版阅读      CNKI AI阅读
300	基于浊毒理论运用补肾化浊解毒方联合优思悦治疗肥胖型多囊卵巢综合征的临床观察	宋闯修	河北中医学院	硕士	2022		37	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
301	化痰通三焦联合调周法治疗超重/肥胖型多囊卵巢综合征的临床研究	鞠婷婷	南京中医药大学	硕士	2022	2	311	原版阅读      CNKI AI阅读
302	穴位埋线联合手法按摩治疗产后腹型肥胖的临床研究	齐甜甜	南京中医药大学	硕士	2022	1	280	原版阅读      CNKI AI阅读
303	皮内针联合中药治疗肥胖型多囊卵巢综合征临床观察	张也	河北中医学院	硕士	2022		33	原版阅读      CNKI AI阅读
304	化痰渗湿泄浊法对痰湿壅盛型肥胖患者血脂代谢影响的临床研究	杨田	成都中医药大学	硕士	2022	1	44	原版阅读      CNKI AI阅读
305	黄连温胆汤化裁联合利司那肽注射液治疗肥胖型2型糖尿病（痰热壅脾型）的临床观察	肖雅匀	成都中医药大学	硕士	2022	2	113	原版阅读      CNKI AI阅读
306	扶土消糖方治疗脾虚湿瘀型2型糖尿病伴肥胖的临床观察	丁丽	河北北方学院	硕士	2022	1	105	原版阅读      CNKI AI阅读
307	“身心减负”中医健康管理在单纯性肥胖中的临床研究	雷晓林	承德医学院	硕士	2022	3	298	原版阅读      CNKI AI阅读
308	俞募配穴埋线治疗痰湿内阻型肥胖并发高脂血的临床研究	李娜	甘肃中医药大学	硕士	2022	1	233	原版阅读      CNKI AI阅读
309	T2DM中心型肥胖及非中心型肥胖中医证型及临床数据比较	买尔古巴·吐尔逊麦麦提	新疆医科大学	硕士	2022	1	110	原版阅读      CNKI AI阅读
310	加减小陷胸汤治疗痰热型肥胖2型糖尿病疗效分析及机制探究	程浩洋	辽宁中医药大学	硕士	2022	2	196	原版阅读      CNKI AI阅读
311	高尿酸血症合并超重/肥胖危险因素分析及中医证候研究	张月	宁夏医科大学	硕士	2022	5	233	原版阅读      CNKI AI阅读
312	渗湿和里汤结合穴位埋线治疗痰湿内盛型肥胖的临床研究	叶岚清	广州中医药大学	硕士	2021	1	39	原版阅读      CNKI AI阅读
313	2型糖尿病合并超重肥胖患者的中医证候分型、代谢表型特点及两者相关性研究	刘瑜颖	上海中医药大学	硕士	2021		156	原版阅读      CNKI AI阅读
314	穴位埋线联合化痰祛瘀方治疗肥胖型多囊卵巢综合征不孕的临床观察	宋畇遐	山东中医药大学	硕士	2021	5	566	原版阅读      CNKI AI阅读
315	加味黄连温胆汤联合优思明治疗痰湿肥胖型PCOS患者的临床疗效观察	徐玉凤	山东中医药大学	硕士	2021	3	280	原版阅读      CNKI AI阅读
316	启宫丸加减方联合优思悦治疗肥胖型多囊卵巢综合征的疗效观察	周桂瑶	山东中医药大学	硕士	2021	5	355	原版阅读      CNKI AI阅读
317	基于“土壅木郁”理论治疗2型糖尿病合并肥胖的临床观察	郑艺	山东中医药大学	硕士	2021	3	391	原版阅读      CNKI AI阅读
318	苓甘五味姜辛汤对肥胖型哮喘的临床干预效应及基于IL-1β/ILC3/IL-17通路的机制研究	马子风	上海中医药大学	博士	2021		195	原版阅读      CNKI AI阅读
319	降浊减重颗粒对新诊断超重/肥胖2型糖尿病患者胰岛素抵抗及Hcy水平的影响研究	王文婷	山东中医药大学	硕士	2021	1	212	原版阅读      CNKI AI阅读
320	潜阳通经汤干预肥胖相关性高血压及对C反应蛋白、白细胞介素-6和肿瘤坏死因子-α的影响	朱明建	山东中医药大学	硕士	2021	1	214	原版阅读      CNKI AI阅读
321	儿童肥胖型哮喘中医证候与临床特征研究	边安政	山东中医药大学	硕士	2021	3	312	原版阅读      CNKI AI阅读
322	穴位刺激联合药物治疗肥胖型多囊卵巢综合征的综述与Meta分析	顾天琪	黑龙江中医药大学	硕士	2021	7	534	原版阅读      CNKI AI阅读
323	通郁调络理论下易罐结合推拿治疗脾虚湿阻型单纯性肥胖的临床研究	陈丽丽	长春中医药大学	硕士	2021	2	376	原版阅读      CNKI AI阅读
324	“疏肝降脂”针法对非酒精性脂肪肝伴肥胖（肝郁脾虚型）的临床观察	张珊珊	长春中医药大学	硕士	2021	13	497	原版阅读      CNKI AI阅读
325	基于“阳化气，阴成形”论治单纯性肥胖的临床观察	周美彤	长春中医药大学	硕士	2021	3	475	原版阅读      CNKI AI阅读
326	运脾扶阳法治疗肥胖型糖尿病前期（脾虚痰湿证）的临床研究	唐贺	长春中医药大学	硕士	2021	5	468	原版阅读      CNKI AI阅读
327	芪连消渴方对超重/肥胖2型糖尿病患者腹部内脏脂肪含量及血清Chemerin水平的影响	宋林林	长春中医药大学	硕士	2021	1	171	原版阅读      CNKI AI阅读
328	苓术糖脂清方联合腹针治疗肥胖2型糖尿病（脾气壅塞、痰瘀阻络证）的临床研究	程飞	长春中医药大学	硕士	2021	5	221	原版阅读      CNKI AI阅读
329	柴陈降浊汤治疗肥胖2型糖尿病肝胃郁热兼痰浊证的临床观察	惠严夕	长春中医药大学	硕士	2021	10	226	原版阅读      CNKI AI阅读
330	不同骨密度2型糖尿病痰湿证患者炎症因子和肥胖指标的相关性分析	柯鑫璐	福建中医药大学	硕士	2021	1	210	原版阅读      CNKI AI阅读
331	加味平胃散治疗脾虚痰湿肥胖型多囊卵巢综合征的临床疗效研究	林紫彤	福建中医药大学	硕士	2021	4	473	原版阅读      CNKI AI阅读
332	腹针联合加味八味解郁汤治疗痰阻气滞肥胖型多囊卵巢综合征的临床疗效观察	黄梅珍	福建中医药大学	硕士	2021	6	396	原版阅读      CNKI AI阅读
333	基于数据挖掘技术探索肥胖痰湿证用药规律研究	姚琦	江西中医药大学	硕士	2021	7	693	原版阅读      CNKI AI阅读
334	非肥胖型脂肪肝与中医体质学的相关性研究	朱熠文	江西中医药大学	硕士	2021	2	626	原版阅读      CNKI AI阅读
335	化浊解毒方治疗肥胖胰岛素抵抗（浊毒内蕴证）临床疗效观察	王晓璐	天津中医药大学	硕士	2021	7	247	原版阅读      CNKI AI阅读
336	益肾疏肝药膳粥防治女性围绝经期肥胖的临床观察	赵明靖	黑龙江中医药大学	硕士	2021	3	571	原版阅读      CNKI AI阅读
337	神阙穴敷贴联合穴位埋线治疗胃热湿阻型单纯性肥胖的临床研究	张洁	河北北方学院	硕士	2021	4	398	原版阅读      CNKI AI阅读
338	腹针治疗糖尿病前期合并肥胖临床疗效观察	庞楠	河北北方学院	硕士	2021	8	357	原版阅读      CNKI AI阅读
339	针刀治疗胃热湿阻型腹型肥胖合并高脂血症的临床观察	阳清	黑龙江省中医药科学院	硕士	2021	16	355	原版阅读      CNKI AI阅读
340	不同中医证型肥胖患者和血清促甲状腺激素水平的关系及相关因素分析	王瑛璐	辽宁中医药大学	硕士	2021	4	215	原版阅读      CNKI AI阅读
341	基于MCP-1/CCR2信号通路探讨电针对高血压病合并肥胖大鼠心脏炎症的影响	李秀灵	辽宁中医药大学	硕士	2021	1	222	原版阅读      CNKI AI阅读
342	超重肥胖2型糖尿病患者的中医证型及代谢指标相关性分析	王雪	黑龙江中医药大学	硕士	2021	7	543	原版阅读      CNKI AI阅读
343	芪荷化浊方对脾虚痰湿型肥胖2型糖尿病的临床观察	赵赫	河北北方学院	硕士	2021	4	227	原版阅读      CNKI AI阅读
344	健脾化痰方治疗肥胖型PCOS-IR脾虚痰湿证患者的临床疗效观察	李建华	湖南中医药大学	硕士	2021	6	282	原版阅读      CNKI AI阅读
345	二陈汤合葛根汤加减联合达英-35治疗痰湿阻滞肥胖型PCOS的临床疗效观察	葛瑞环	华北理工大学	硕士	2021	1	250	原版阅读      CNKI AI阅读
346	高尿酸血症合并超重/肥胖影响因素分析与体质分布	吴伟璇	广州中医药大学	硕士	2021	3	518	原版阅读      CNKI AI阅读
347	祛痰活血运脾汤联合二甲双胍治疗肥胖型T2DM痰湿瘀阻证的临床观察	冯彤	华北理工大学	硕士	2021		134	原版阅读      CNKI AI阅读
348	腹背部走留罐治疗湿热质腹型肥胖的临床观察	邓文剑	湖南中医药大学	硕士	2021	12	461	原版阅读      CNKI AI阅读
349	升阳益气除湿埋线治疗单纯性肥胖脾虚湿阻证的临床观察	赵慧	湖南中医药大学	硕士	2021	3	360	原版阅读      CNKI AI阅读
350	健脾益气化浊汤联合腹部埋线治疗成人单纯性肥胖脾虚湿阻型的疗效观察	陈凯锋	湖南中医药大学	硕士	2021	4	367	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
351	平衡火罐对肥胖型多囊卵巢综合征不孕症疗效分析	陈琳琳	广州中医药大学	硕士	2021	4	632	原版阅读      CNKI AI阅读
352	社区获得性肺炎肥胖患者中医证候及临床特征分析	吴梦菁	广州中医药大学	硕士	2021	2	193	原版阅读      CNKI AI阅读
353	清热利湿健脾方治疗湿热困脾型肥胖2型糖尿病的疗效观察	轩晨惠	华北理工大学	硕士	2021	7	343	原版阅读      CNKI AI阅读
354	针药结合治疗肥胖型多囊卵巢综合征不孕症的临床研究	張莹（Jade Cheung）	广州中医药大学	硕士	2021	1	490	原版阅读      CNKI AI阅读
355	麻杏薏甘汤联合非布司他治疗痰湿型单纯性肥胖合并高尿酸血症的临床观察	陈俊敏	成都中医药大学	硕士	2021	3	215	原版阅读      CNKI AI阅读
356	肥胖与绝经后骨质疏松症中医证型的相关性研究	吕伟强	福建中医药大学	硕士	2021	5	367	原版阅读      CNKI AI阅读
357	电针联合中药内服治疗湿热蕴脾型单纯性肥胖的临床观察	张飞羽	湖北中医药大学	硕士	2021	7	378	原版阅读      CNKI AI阅读
358	针刺结合隔物灸贴治疗脾虚湿阻型单纯性肥胖的临床研究	吕思颖	湖北中医药大学	硕士	2021	9	380	原版阅读      CNKI AI阅读
359	补中益气丸调控自噬抑制肥胖型哮喘免疫炎症机制研究	袁雨来	四川大学	博士	2021		109	原版阅读      CNKI AI阅读
360	气化理论指导临床治疗超重/肥胖的数据挖掘和网络药理学研究	杲春阳	中国中医科学院	硕士	2021	3	460	原版阅读      CNKI AI阅读
361	穴位埋线联合阴阳调理灸改善腹型肥胖患者气虚体质的临床研究	张艳佶	湖北中医药大学	硕士	2021	10	530	原版阅读      CNKI AI阅读
362	肥胖2型糖尿病患者中医体质与证型的研究	李春秀	广西中医药大学	硕士	2021	20	792	原版阅读      CNKI AI阅读
363	基于人体成分分析探讨薄氏腹针治疗肥胖2型糖尿病脾虚痰湿证的临床研究	谢俞辉	广西中医药大学	硕士	2021	6	330	原版阅读      CNKI AI阅读
364	益气化聚方治疗脾虚痰湿型腹型肥胖合并胰岛素抵抗的临床研究	万雪影	上海中医药大学	硕士	2021		83	原版阅读      CNKI AI阅读
365	针刺结合八段锦治疗胃热湿阻型单纯性腹型肥胖的临床疗效观察	沈佳韵	上海中医药大学	硕士	2021	2	129	原版阅读      CNKI AI阅读
366	基于数据挖掘技术探索针灸治疗腹型肥胖腧穴优选与配伍规律研究	邓香茗	广西中医药大学	硕士	2021	9	586	原版阅读      CNKI AI阅读
367	电针联合减肥方治疗胃热湿阻型单纯性肥胖的疗效观察	谢汉兴	广西中医药大学	硕士	2021	8	580	原版阅读      CNKI AI阅读
368	“固本培元，健脾和胃”穴组埋线治疗腹型肥胖的临床疗效观察	唐霁	广西中医药大学	硕士	2021	9	418	原版阅读      CNKI AI阅读
369	调理三焦法穴位埋线对单纯性肥胖患者内分泌激素的影响研究	曾启峰	广西中医药大学	硕士	2021	2	429	原版阅读      CNKI AI阅读
370	带脉结合脾胃经穴位埋线治疗脾虚湿阻型单纯性肥胖的临床研究	尹甜甜	湖北中医药大学	硕士	2021	2	445	原版阅读      CNKI AI阅读
371	何首乌中2,3,5,4'-四羟基二苯乙烯-2-O-β-D-葡萄糖苷改善肥胖大鼠高血压的机制研究	董芊芊	中国人民解放军空军军医大学	博士	2021		293	原版阅读      CNKI AI阅读
372	从肠-肺轴出发探讨母亲肥胖对子代呼吸系统的影响及机制研究	周波	北京中医药大学	博士	2021	3	687	原版阅读      CNKI AI阅读
373	桂枝茯苓加减方治疗肥胖2型糖尿病（气虚血瘀证）临床观察	王聪	天津中医药大学	硕士	2021	13	507	原版阅读      CNKI AI阅读
374	非肥胖型多囊卵巢综合征的中医证型分布规律及其相关因素研究	孙雅慧	辽宁中医药大学	硕士	2021	8	465	原版阅读      CNKI AI阅读
375	肥胖合并2型糖尿病患者的中医证素及代谢指标特点研究	武英杰	辽宁中医药大学	硕士	2021	6	314	原版阅读      CNKI AI阅读
376	耳穴贴压联合中药治疗肥胖型多囊卵巢综合征（肾虚痰湿证）的临床研究	陈诗音	辽宁中医药大学	硕士	2021	15	423	原版阅读      CNKI AI阅读
377	NF-κB/NLRP3信号通路在针刺高血压合并肥胖大鼠心肌细胞炎症中的作用	蔡昀潞	辽宁中医药大学	硕士	2021	3	273	原版阅读      CNKI AI阅读
378	肥胖相关性高血压痰瘀互结证动物模型的建立与评价	刘信校	湖南中医药大学	硕士	2021	7	272	原版阅读      CNKI AI阅读
379	谷方益元减脂法干预痰湿体质单纯性肥胖的回顾性研究	佘义勇	湖南中医药大学	硕士	2021	3	641	原版阅读      CNKI AI阅读
380	清脂降糖方治疗肥胖型2型糖尿病痰湿内蕴证的临床疗效观察	王婷婷	湖南中医药大学	硕士	2021	3	242	原版阅读      CNKI AI阅读
381	健脾化痰方对肥胖型PCOS-IR脾虚痰湿证患者脂代谢的影响	陈苇	湖南中医药大学	硕士	2021	5	143	原版阅读      CNKI AI阅读
382	小柴胡汤加减治疗肥胖型2型糖尿病湿热瘀阻证临床研究	木泥热·木塔力普	新疆医科大学	硕士	2021	4	158	原版阅读      CNKI AI阅读
383	益气化浊法联合奥利司他治疗脾虚夹痰湿型单纯性肥胖的临床研究	赵思亮	成都中医药大学	硕士	2021	2	234	原版阅读      CNKI AI阅读
384	补肾化痰法对肥胖型PCOS大鼠卵巢组织NLRP3炎症小体信号通路的调控	熊倩	成都中医药大学	硕士	2021	3	243	原版阅读      CNKI AI阅读
385	超重/肥胖中老年2型糖尿病患者临床特征、中医体质分布分析及其相关性研究	廖露	成都中医药大学	硕士	2021	5	309	原版阅读      CNKI AI阅读
386	粪菌移植联合防风通圣丸对肥胖大鼠肠道菌群-SCFAs-GPR43-胃肠肽通路的影响	崔丽军	北京中医药大学	硕士	2021	13	1870	原版阅读      CNKI AI阅读
387	苍附导痰汤合佛手散加减治疗肥胖型多囊卵巢综合征的临床研究	王晓梅	北京中医药大学	硕士	2021	8	775	原版阅读      CNKI AI阅读
388	加减藿朴夏苓汤治疗肥胖型2型糖尿病（痰湿郁热证）的临床观察	钱昌盛	云南中医药大学	硕士	2021	1	251	原版阅读      CNKI AI阅读
389	针药结合治疗肥胖型多囊卵巢综合征痰湿证的临床观察	杨丽平	云南中医药大学	硕士	2021	4	286	原版阅读      CNKI AI阅读
390	自拟瘦身增敏汤联合贝那鲁肽注射液治疗肥胖伴胰岛素抵抗的临床研究	范秋宏	成都中医药大学	硕士	2021	1	92	原版阅读      CNKI AI阅读
391	补肾健脾法改善PCOS慢性低度炎症状态的疗效及其与肥胖相关性的研究	曹梦娣	南京中医药大学	硕士	2021	3	226	原版阅读      CNKI AI阅读
392	基于PPARα/PGC-1α信号通路探讨中药血脂康干预肥胖高血压合并代谢相关性脂肪肝的机制	龚智君	南京中医药大学	硕士	2021	5	804	原版阅读      CNKI AI阅读
393	基于代谢状态和肥胖程度分层的人群中医体质分布及其左心室功能的研究	王烨	南京中医药大学	硕士	2021	3	196	原版阅读      CNKI AI阅读
394	从AQP7调控脂肪分解的机制探究二陈汤从脾论治肥胖的作用	赵春燕	南京中医药大学	硕士	2021	1	73	原版阅读      CNKI AI阅读
395	二陈汤对肥胖大鼠脂质代谢和肠道菌群紊乱影响的研究	赵田	南京中医药大学	硕士	2021	2	166	原版阅读      CNKI AI阅读
396	穴位埋线对于脾虚湿阻型腹型肥胖的疗效研究	黄荣	南京中医药大学	硕士	2021	5	387	原版阅读      CNKI AI阅读
397	清肝滋肾方促进脂肪稳态改善肥胖高血压代谢紊乱及心脏损害的临床研究	何云	南京中医药大学	博士	2022		370	原版阅读      CNKI AI阅读
398	滋肾清肝法治疗非肥胖型多囊卵巢综合征不孕患者的临床疗效观察	戈晓丹	南京中医药大学	硕士	2021	3	295	原版阅读      CNKI AI阅读
399	电针与穴位埋线治疗腹型肥胖合并胰岛素抵抗的临床对比研究	黄凯	南京中医药大学	硕士	2021	2	258	原版阅读      CNKI AI阅读
400	减重止鼾汤联合CPAP治疗肥胖型OSA痰瘀互结证患者的临床疗效观察	杨军	甘肃中医药大学	硕士	2021	1	162	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
401	俞募配穴埋线法治疗脾虚湿盛型产后肥胖的临床研究	宁子铭	甘肃中医药大学	硕士	2021	3	254	原版阅读      CNKI AI阅读
402	穴位埋线治疗肝郁气滞型单纯性肥胖的临床疗效观察	陈霞	安徽中医药大学	硕士	2021	2	492	原版阅读      CNKI AI阅读
403	超重肥胖患者的中医证型特点与代谢指标的相关性分析	王泽旭	辽宁中医药大学	硕士	2021	15	329	原版阅读      CNKI AI阅读
404	非肥胖型多囊卵巢综合征患者的中医证候分类研究	陈强	成都中医药大学	硕士	2021	1	168	原版阅读      CNKI AI阅读
405	达英-35联合穴位埋线治疗肥胖型多囊卵巢综合征脾虚痰湿证患者临床疗效观察	刘跃臣	新疆医科大学	硕士	2021	5	301	原版阅读      CNKI AI阅读
406	非肥胖与肥胖型NAFLD患者的中医体质及血尿酸分析	宋小丽	新疆医科大学	硕士	2021	2	177	原版阅读      CNKI AI阅读
407	芪丹平胃方治疗2型糖尿病合并肥胖（脾虚湿盛型）的临床疗效观察	张静	新疆医科大学	硕士	2021	3	238	原版阅读      CNKI AI阅读
408	围绝经期肥胖证素特点与脂肪因子及雌激素受体相关性研究	赵强	福建中医药大学	硕士	2020	5	336	原版阅读      CNKI AI阅读
409	B超引导下深层次穴位埋线对女性腹型肥胖及排便功能的影响	韩桂华	南京中医药大学	博士	2020	5	516	原版阅读      CNKI AI阅读
410	“固本培元”揿针疗法对奥氮平所致脾肾阳虚型肥胖的临床与实验研究	新昕	辽宁中医药大学	博士	2021	3	553	原版阅读      CNKI AI阅读
411	腹针治疗中心性肥胖型糖尿病前期的研究	何纾文	北京中医药大学	硕士	2020	10	568	原版阅读      CNKI AI阅读
412	基于PINK1/Parkin信号通路研究加味大柴胡汤调节线粒体自噬改善胰岛素抵抗肥胖的作用机制	张旭	成都中医药大学	博士	2020	37	2838	原版阅读      CNKI AI阅读
413	针药结合治疗痰湿型PCOS腹型肥胖的临床观察	马佳慧	黑龙江中医药大学	硕士	2020	6	409	原版阅读      CNKI AI阅读
414	腹部针刺治疗非特异性下腰痛伴腹型肥胖的临床疗效观察	胡懋焓	黑龙江中医药大学	硕士	2020		316	原版阅读      CNKI AI阅读
415	乌梅丸加减治疗肥胖2型糖尿病痰热内蕴证的临床观察	刘佳迪	山西中医药大学	硕士	2020	9	624	原版阅读      CNKI AI阅读
416	健脾疏肝降脂方对肥胖斑马鱼脂质代谢干预作用的研究	吴秋燕	上海中医药大学	硕士	2020	5	407	原版阅读      CNKI AI阅读
417	针灸埋线对单纯性肥胖小鼠差异蛋白变化机制的研究	万宝年	上海中医药大学	硕士	2020		117	原版阅读      CNKI AI阅读
418	补肾祛痰方联合二甲双胍对肥胖型多囊卵巢综合征患者脂代谢的影响	侯璇璇	山东中医药大学	硕士	2020	2	184	原版阅读      CNKI AI阅读
419	化痰通络汤干预肥胖相关性高血压及对TLR4/NF-kB炎性信号通路影响的临床研究	王岚淼	山东中医药大学	硕士	2020	3	308	原版阅读      CNKI AI阅读
420	阳明五行穴埋线治疗胃热滞脾型单纯性肥胖的临床研究	刘春凤	山东中医药大学	硕士	2020		182	原版阅读      CNKI AI阅读
421	针刺阳明五行穴治疗单纯性肥胖的临床研究	辛雅静	山东中医药大学	硕士	2020	2	187	原版阅读      CNKI AI阅读
422	中药应用于超重/肥胖人群体重管理疗效的真实世界研究	宋昌梅	中国中医科学院	硕士	2020	8	999	原版阅读      CNKI AI阅读
423	促发肥胖患者血糖升高因素及中医体质的相关性研究	王明欣	中国中医科学院	硕士	2020	19	508	原版阅读      CNKI AI阅读
424	石英毓麟汤治疗肥胖型PCOS的临床疗效及对血清内分泌、SOD水平的影响	段新宇	山东中医药大学	硕士	2020	2	124	原版阅读      CNKI AI阅读
425	非肥胖型PCOS中医证候分析及降气化痰法对气滞痰瘀型患者的临床观察	付佳琳	河南中医药大学	硕士	2020	1	111	原版阅读      CNKI AI阅读
426	桂罗氏调周方联合穴位埋线治疗肥胖型多囊卵巢综合征的临床观察	潘永芹	广西中医药大学	硕士	2020	5	286	原版阅读      CNKI AI阅读
427	薄氏腹针对中心性肥胖型2型糖尿病患者内脏脂肪因子的影响及临床疗效观察	廖中杰	广西中医药大学	硕士	2020	15	319	原版阅读      CNKI AI阅读
428	“引气归元健脾胃”针法治疗脾肾阳虚型单纯性肥胖的临床研究	傅容璇	广西中医药大学	硕士	2020	3	442	原版阅读      CNKI AI阅读
429	腹部拔罐结合减肥膏治疗腹型肥胖的临床研究	郑颖	广西中医药大学	硕士	2020	8	1197	原版阅读      CNKI AI阅读
430	针刺对肥胖大鼠肠道菌群影响的研究	吴曼婷	广西中医药大学	硕士	2020	25	824	原版阅读      CNKI AI阅读
431	针刺对单纯性肥胖大鼠mTOR通路影响的研究	周玉	广西中医药大学	硕士	2020	5	227	原版阅读      CNKI AI阅读
432	针刺对肥胖大鼠脂肪组织蛋白表达影响的研究	李超德	广西中医药大学	硕士	2020	5	171	原版阅读      CNKI AI阅读
433	基于SIRT1/PGC-1α去乙酰化改善线粒体功能探讨活血潜阳祛痰方抑制肥胖相关性高血压左室肥厚的实验研究	王静	上海中医药大学	博士	2020		377	原版阅读      CNKI AI阅读
434	单纯性肥胖（脾虚湿阻型）的中医健康管理临床疗效观察	王世燕	黑龙江中医药大学	硕士	2020	3	656	原版阅读      CNKI AI阅读
435	基于气络理论连陈汤加味治疗络郁湿阻型肥胖的疗效观察	崔嘉雯	黑龙江中医药大学	硕士	2020	3	129	原版阅读      CNKI AI阅读
436	连陈汤治疗脾虚湿阻型肥胖的疗效观察及对肠道菌群的影响	刘翠翠	黑龙江中医药大学	硕士	2020	22	534	原版阅读      CNKI AI阅读
437	中药治疗单纯性肥胖疗效性的Meta分析	周曌莹	黑龙江中医药大学	硕士	2020	5	485	原版阅读      CNKI AI阅读
438	2型糖尿病肥胖患者中医证型分布特点的相关性分析	赵丽华	黑龙江中医药大学	硕士	2020	11	447	原版阅读      CNKI AI阅读
439	佩连麻黄方加味治疗单纯性肥胖伴IGT（胃热滞脾型）的临床观察	高悦	黑龙江中医药大学	硕士	2020	2	292	原版阅读      CNKI AI阅读
440	清热祛浊胶囊联合二甲双胍对肥胖型T2DM（热盛痰阻夹瘀证）的临床观察	王子龙	华北理工大学	硕士	2020	4	141	原版阅读      CNKI AI阅读
441	燕麦麸干预超重/肥胖2型糖尿病的临床疗效研究	彭欢	成都中医药大学	硕士	2020	1	265	原版阅读      CNKI AI阅读
442	除湿化痰法治疗肥胖型高血压（痰湿内阻证）的临床研究	蔡泽鑫	成都中医药大学	硕士	2020	5	281	原版阅读      CNKI AI阅读
443	超重/肥胖伴抑郁状态患者HPA轴功能的改变及与中医证型的关系	赵秀	成都中医药大学	硕士	2020	4	347	原版阅读      CNKI AI阅读
444	PCOS患者肥胖抑郁状态的HPA轴功能变化及与中医证型的相关性研究	王盼盼	成都中医药大学	硕士	2020	5	273	原版阅读      CNKI AI阅读
445	明胶微针穴位贴片治疗单纯性肥胖的临床研究	周珊	成都中医药大学	硕士	2020		367	原版阅读      CNKI AI阅读
446	真武汤合五苓散治疗肥胖相关性高血压阳虚水停证的临床观察	何少华	湖南中医药大学	硕士	2020	2	203	原版阅读      CNKI AI阅读
447	超重/肥胖2型糖尿病患者的舌象研究	陈小愚	北京中医药大学	硕士	2020	9	339	原版阅读      CNKI AI阅读
448	不同长度线体干预穴位埋线治疗脾虚湿阻型单纯性肥胖的量效研究	黄珍珍	北京中医药大学	硕士	2020	7	516	原版阅读      CNKI AI阅读
449	穴位埋线治疗单纯性肥胖合并OSAHS的临床研究	孟言	北京中医药大学	硕士	2020	4	317	原版阅读      CNKI AI阅读
450	超重/肥胖合并糖耐量异常的临床特征及中医证型研究	魏秀秀	北京中医药大学	硕士	2020	12	550	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
451	基于网状Meta的针灸治疗单纯性肥胖方案及病例系列研究	周锐	广州中医药大学	硕士	2020	2	409	原版阅读      CNKI AI阅读
452	温针灸联合耳针治疗单纯性肥胖（脾虚湿阻型）的临床研究	王海丽	长春中医药大学	硕士	2020	11	523	原版阅读      CNKI AI阅读
453	长春市某社区65岁及以上老年人肥胖指标与血压、血糖、血脂的关系研究	孙晓琦	长春中医药大学	硕士	2020	12	769	原版阅读      CNKI AI阅读
