	篇名	作者	刊名	发表时间	被引	下载	操作
393	基于文献计量学和知识图谱分析急性心肌梗死的中医药领域研究现状与趋势	贾君迪 张杰 王彤歆 徐浩	中西医结合心脑血管病杂志	2023-08-10	7	233	HTML阅读      CNKI AI阅读
394	基于CiteSpace和数据挖掘的近10年中医药治疗肾系疾病脾肾阳虚证的知识图谱分析	于光辉 刘迎迎 郭兆安	中医临床研究	2023-08-10	1	180	HTML阅读      CNKI AI阅读
395	“健康中国”背景下我国社区中医药服务研究热点和前沿趋势的可视化分析	徐健 戴芳芳 潘文雷 黄倩 陆萍 王剑峰 贾环 杨宇琪 黄蛟灵	中国全科医学	2023-08-02 14:10	22	1586	HTML阅读      CNKI AI阅读
396	基于CNKI的中医药人才培养模式的文献计量学分析	聂僖 魏语涵 丁浩 林海雄 王晓彤	中医教育	2023-07-28 15:56	7	627	HTML阅读      CNKI AI阅读
397	基于CiteSpace的中医运气理论研究可视化分析	牛馨怡 汲泓	山西中医药大学学报	2023-07-28		99	HTML阅读      CNKI AI阅读
398	基于CiteSpace舌苔菌群研究的文献计量与可视化分析	谭晓宁 王妙然 王旭杰 张继伟 李秋艳	中医药导报	2023-07-28	2	392	HTML阅读      CNKI AI阅读
399	基于CiteSpace软件可视化分析方剂学课程教学研究现状	李愿玲 罗之瑜	湖南中医杂志	2023-07-28	1	169	HTML阅读      CNKI AI阅读
400	基于CiteSpace的中医药治疗双心疾病相关研究可视化知识图谱分析	张博 朱旭 张哲 闵冬雨 杨关林	中医药导报	2023-07-28	1	619	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
401	基于CiteSpace的中医药治疗斑秃知识图谱可视化分析	黄红 李勇 宋文英	新中医	2023-07-25	1	460	HTML阅读      CNKI AI阅读
402	基于CiteSpace的中医药治疗腹泻型肠易激综合征的可视化分析	李佳玺 税典奎 罗诗雨 黄庆 黎舒婷	中医临床研究	2023-07-25	2	179	HTML阅读      CNKI AI阅读
403	基于CiteSpace的中医药治疗复发性流产可视化分析	贾兰 周娟 于琴 赵以琳 贾林娜 严骅	现代中医药	2023-07-20		314	HTML阅读      CNKI AI阅读
404	基于CiteSpace及VOSviewer可视化分析中医药治疗癌因性疲乏的研究热点和趋势	徐琼 张恒 秦浩人 李海鹏 王辉	浙江中医药大学学报	2023-07-18	11	796	HTML阅读      CNKI AI阅读
405	基于Citespace的中药灌肠治疗溃疡性结肠炎可视化分析	朱艳群 谢昌营 罗诗雨 林申奇	光明中医	2023-07-17		420	HTML阅读      CNKI AI阅读
406	中医药治疗腰椎间盘突出症研究热点与趋势可视化分析	何涛 邱斌 雷媛 李仁志	医学信息	2023-07-15	3	259	HTML阅读      CNKI AI阅读
407	基于CiteSpace和VOSviewer可视化分析国内近30年肠道菌群在中医药领域的研究热点与趋势	刘金凤 崔海栋 韩信慧 梁国英	中国微生态学杂志	2023-07-15	3	533	HTML阅读      CNKI AI阅读
408	基于CiteSpace的中医特色调护在糖尿病周围神经病变应用中的研究热点及发展趋势分析	朱胜伶 余丹 郑如兰 谢雯雯	新中医	2023-07-10		275	HTML阅读      CNKI AI阅读
409	基于CiteSpace的中医药治疗小儿慢性咳嗽可视化分析	张琳琳 张晓芹 张尊敬	中国现代医生	2023-07-08	1	229	HTML阅读      CNKI AI阅读
410	基于CiteSpace知识图谱分析中医药治疗乳腺癌研究现状	张俊丽 韩发彬	山东中医杂志	2023-07-05	3	382	HTML阅读      CNKI AI阅读
411	基于CiteSpace的中医药治疗肾纤维化作用机制的可视化分析	赵盈坤 刘兰英 赵宗江 田哲菁 姚雯静 闫英睿 姜昊 庹伟	中国医药导报	2023-07-05	3	399	HTML阅读      CNKI AI阅读
412	基于CiteSpace的乳腺癌中医护理研究热点分析	王璐杉 王国蓉 李松兰 姚丹 邢乃芳	当代护士(下旬刊)	2023-07-01	2	268	HTML阅读      CNKI AI阅读
413	基于CNKI数据库的脉诊客观化研究的CiteSpace可视化分析	张乃金 崔淮星 曾仙月 孙璇 王泓午	世界科学技术-中医药现代化	2023-06-30 11:46	4	938	HTML阅读      CNKI AI阅读
414	基于CiteSpace对半夏白术天麻汤相关研究的可视化分析	方芳 陈燕 朱海利 王金星 康焱红 夏青青 陈偶英	湖南中医杂志	2023-06-28		451	HTML阅读      CNKI AI阅读
415	基于CiteSpace的中医药治疗糖尿病性胃轻瘫的研究现状可视化分析	温建炫 朱珲莹 宋薇 赵玲 范冠杰	中医药导报	2023-06-28	2	393	HTML阅读      CNKI AI阅读
416	2012—2021年中医药治疗失眠研究领域硕博学位论文可视化分析	陈抒鹏 唐娜娜 王思梦 缪慧慧 徐媛媛	中国中医药图书情报杂志	2023-06-26	4	506	HTML阅读      CNKI AI阅读
417	基于Web of Science 的心血管疾病中巨噬细胞极化的文献计量学分析	王如梦 谷依檬 郑莉莹 吴艳艳 薛梅 李立志	现代医学	2023-06-25	2	267	HTML阅读      CNKI AI阅读
418	基于CiteSpace的我国中医专科护士研究热点与趋势的可视化分析	隆丽芳 魏琳 王秋婷 朱丽佳 胡萍 谢嘉欣 朱鑫鑫 谢湘萁 林美珍	全科护理	2023-06-20	4	658	HTML阅读      CNKI AI阅读
419	基于CiteSpace的我国近10年2型糖尿病中医护理研究热点的可视化分析	蒋小芳 闫小红	全科护理	2023-06-20	4	607	HTML阅读      CNKI AI阅读
420	基于知识图谱技术的白癜风现代中医临证治疗分析	黄绮然 党若楠 叶韵婷 陈少敏 禤国维 吴元胜	时珍国医国药	2023-06-20	4	575	HTML阅读      CNKI AI阅读
421	基于CiteSpace可视化分析肛瘘术后护理研究热点	吴琼 张旭玲	中医临床研究	2023-06-20		149	HTML阅读      CNKI AI阅读
422	中医药文化在线科普资源建设研究	束建华 姜飞艳	安徽工业大学学报(社会科学版)	2023-06-15		113	原版阅读      CNKI AI阅读
423	基于CiteSpace分析国内耳穴疗法研究热点及趋势	徐语晨 葛浩天 王秋琴 章雨桐 孙艳虹 王庆 严姝霞 柏亚妹 徐桂华	军事护理	2023-06-15	15	2913	HTML阅读      CNKI AI阅读
424	文献计量视角下的人工智能在中医诊断领域应用的研究热点及演化趋势（英文） OA	张傑屹 彭清华 晏峻峰	Digital Chinese Medicine	2023-06-15	3	483	HTML阅读      CNKI AI阅读
425	基于CiteSpace的近20年中医典籍英译研究可视化分析	周锋 曹玲	中医药管理杂志	2023-06-14		317	HTML阅读      CNKI AI阅读
426	基于文献计量学对中医药干预氧化应激的可视化分析	赵小晗 高洁 谭宇 刘敏 李敏 骆金文 马晓娟	天津中医药	2023-06-12	2	333	HTML阅读      CNKI AI阅读
427	基于CiteSpace可视化分析近10年中医药治疗类风湿性关节炎的研究	张睿 冯韵 赵珍妮 何燕燕 孙燕 孙志岭	河南中医	2023-06-10	3	531	HTML阅读      CNKI AI阅读
428	基于《伤寒论》厥阴病研究相关文献知识图谱分析	姜鑫 薛俊良 万晓刚	新中医	2023-06-10		293	HTML阅读      CNKI AI阅读
429	中医药治疗运动性疲劳研究热点可视化分析	李慧 高明 周荣杰 徐刚 温军玲	中国中医药信息杂志	2023-06-01 11:37	4	726	HTML阅读      CNKI AI阅读
430	中药治疗高血压的文献计量学初步分析	崔涵淼 何磊磊 彭宇 吴建军 郑贵森 樊景春	医疗装备	2023-05-30	1	429	HTML阅读      CNKI AI阅读
431	功能磁共振在中医药治疗缺血性脑卒中领域的研究热点与前沿	徐康丽 安兰花 张金生 杜晓燕 尹乐乐 张希贤	中国组织工程研究	2023-05-29 17:07	3	1055	原版阅读      CNKI AI阅读
432	中医非药物疗法治疗帕金森病的可视化分析——以Web of Science数据库为例	章雨桐 王秋琴 徐语晨 孙艳虹 翁恒 梁咏琪 汪露露 徐桂华	中医药导报	2023-05-28	3	561	HTML阅读      CNKI AI阅读
433	基于CiteSpace的近10年中医药治疗肺结核可视化分析	夏超丽 张晓芹 张尊敬	中国现代医生	2023-05-28	3	274	HTML阅读      CNKI AI阅读
434	基于数据挖掘的中药口服治疗骨质疏松性骨折组方规律研究	黄健 姜俊杰 张帆 王维 井媛媛 罗杰 李晋玉	河北中医	2023-05-28	1	368	HTML阅读      CNKI AI阅读
435	基于CiteSpace的红外热成像技术在中医领域应用的可视化分析	张一勉 王煜杰 李宁 范杨阳 王天芳	世界中西医结合杂志	2023-05-28	4	699	HTML阅读      CNKI AI阅读
436	中医药干预腹膜透析治疗的文献计量学研究	赵静 张悦 蔡朕 李艳爽 周革霞 刘宝利 杨坤杰	中国科技资源导刊	2023-05-28	3	185	HTML阅读      CNKI AI阅读
437	基于Citespace的中医药治疗脊髓损伤研究文献的可视化分析	金园 曹世杰 张欣 程鑫妮 陈静愉 纪军	神经损伤与功能重建	2023-05-25	2	315	HTML阅读      CNKI AI阅读
438	基于CiteSpace近30年中医药治疗酒精性肝病可视化分析	卢立炜 陈睿 梁天坚 刘亿雨 黎凤仪	现代中医药	2023-05-20	5	525	HTML阅读      CNKI AI阅读
439	基于CiteSpace V的慢性阻塞性肺疾病急性加重期研究的可视化分析	费飞 李智	江苏科技信息	2023-05-20		80	HTML阅读      CNKI AI阅读
440	基于CiteSpace可视化分析中医药领域肛周脓肿研究热点与趋势	刘莹 贺荔枝 王真权 洪译 段沁彤	云南中医中药杂志	2023-05-20	1	227	HTML阅读      CNKI AI阅读
441	基于CiteSpace的中医药治疗肠易激综合征可视化图谱分析	李仁洁 李金香	中医临床研究	2023-05-20	1	194	HTML阅读      CNKI AI阅读
442	基于CiteSpace的国内痰湿体质知识图谱可视化分析	李岩 高惠贤 吴涛涛 秦俊俊 江泽强 王立英 李文乐 朱玲慧 李英帅	世界中医药	2023-05-16 11:29	9	1145	HTML阅读      CNKI AI阅读
443	1992-2022年中医药治疗下肢动脉硬化闭塞症研究文献可视化分析	邓俊林 曹芳 王御震 蔡惠群 曹烨民	中国中医药信息杂志	2023-05-15 14:33	4	589	HTML阅读      CNKI AI阅读
444	中医药治疗白内障的CiteSpace知识图谱分析	刘春 王露瑶 段俊国	成都中医药大学学报	2023-05-15	1	414	HTML阅读      CNKI AI阅读
445	基于Citespace的中医药领域德尔菲法研究知识图谱分析	代欣玥 杨巧宁 张菀桐 高蕊	西部中医药	2023-05-15	6	323	HTML阅读      CNKI AI阅读
446	基于CiteSpace的中医药健康服务研究现状、热点与趋势的可视化分析	陈颖 孟娣娟	齐齐哈尔医学院学报	2023-05-15	3	546	HTML阅读      CNKI AI阅读
447	黄芪建中汤知识图谱分析——基于Neo4j和CiteSpace的计量分析	熊航 王梦琪 刘军楼 刘亚军 沈洪	中医临床研究	2023-05-10	2	323	HTML阅读      CNKI AI阅读
448	基于CiteSpace可视化分析正常高值血压的研究热点趋势	张海宇 薛燕星 肖战说 孙良明 周思敏 徐思雨 姚魁武	中西医结合心脑血管病杂志	2023-05-10		278	HTML阅读      CNKI AI阅读
449	国内“手法治疗踝关节扭伤”研究热点的可视化分析	赵国东 王尚全 韩涛 陈明 展嘉文 孙树椿	中华全科医学	2023-05-08	3	335	HTML阅读      CNKI AI阅读
450	基于CiteSpace对慢性阻塞性肺疾病中医外治法相关研究的可视化分析	赵海萌 彭艳茹 王淑芹	中国医药	2023-05-06	6	749	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
451	基于CiteSpace对中医药防治骨质疏松性压缩性骨折的可视化分析	谢晓东 张宏波	中医临床研究	2023-05-04 15:37	7	407	HTML阅读      CNKI AI阅读
452	2007-2022年中医药调节线粒体自噬研究文献可视化分析	陶永彪 汪龙德 毛兰芳 李正菊 靳三省 吴毓谦 张瑞婷	中国中医药信息杂志	2023-05-04 14:42	1	516	HTML阅读      CNKI AI阅读
453	基于CiteSpace的中医药治疗腰椎间盘突出症可视化分析	高夕林 王树人	医学信息	2023-05-01	2	405	HTML阅读      CNKI AI阅读
454	基于CiteSpace的我国中医药健康素养研究现状与趋势分析	李静 朱瑶 冯美菱 吴绍峰 王素珍	职业与健康	2023-05-01	4	735	HTML阅读      CNKI AI阅读
455	基于CNKI的中医英译期刊文献关键词可视化分析	荣光 韩平欣 李秋爽 王乐鹏 谢晴宇	中国中医药图书情报杂志	2023-05-01	1	172	HTML阅读      CNKI AI阅读
456	基于CiteSpace与VOSviewer的中医药治疗变应性鼻炎的可视化分析	曾斯琴 胡蓉 刘样 楼天晓 唐深 苏鹏	中医药导报	2023-04-28	3	626	HTML阅读      CNKI AI阅读
457	黄芪建中汤研究文献可视化分析	邢崇溢 阚俊明 郭迪 徐春凤	中医药导报	2023-04-28	5	528	HTML阅读      CNKI AI阅读
458	近10年中医药治疗肝癌的CiteSpace知识图谱分析	王和沪 王云启	中西医结合肝病杂志	2023-04-28	3	424	HTML阅读      CNKI AI阅读
459	基于知识图谱的中医健康体检热点与趋势分析	童祎 陈玲萍	中医药管理杂志	2023-04-28		109	HTML阅读      CNKI AI阅读
460	基于CiteSpace的中医药干预化疗后周围神经毒性相关研究的可视化分析	王中英 陈偶英 余艳兰 王金星 蔡喆燚 赖子唯 王敏	湖南中医杂志	2023-04-27	2	569	HTML阅读      CNKI AI阅读
461	2003-2022年中医药干预帕金森病研究热点及趋势可视化分析	廖倩 李新龙 黄祥辉 张根明	中国中医药信息杂志	2023-04-26 13:15		723	HTML阅读      CNKI AI阅读
462	基于CiteSpace分析近25年中医药现代化发展趋势	毛学韫 郑淼 吴玥 王斌艳	浙江临床医学	2023-04-25	1	120	原版阅读      CNKI AI阅读
463	基于CiteSpace的中医药治疗子宫内膜癌文献计量学分析	张家蔚 薛晓鸥 许玥 朱玉莹 李军 刘小丽	中国医药导报	2023-04-25	3	577	HTML阅读      CNKI AI阅读
464	基于CiteSpace知识图谱对中医血浊理论研究热点与趋势的可视化分析	王牧仁 孙旭 刘娇 郭春莉	中国医药导报	2023-04-25	4	430	HTML阅读      CNKI AI阅读
465	基于CiteSpace的中医药治疗乳腺癌后伴抑郁的知识图谱分析	梁军霞 唐贺利 郑美媛 刘玉洁	实用临床医药杂志	2023-04-23	5	250	HTML阅读      CNKI AI阅读
466	基于CiteSpace的中西医结合治疗新型冠状病毒肺炎研究态势的文献计量学分析	袁发浒 张家琪 郝运 周娴	江汉大学学报(自然科学版)	2023-04-21	3	745	HTML阅读      CNKI AI阅读
467	基于CiteSpace的近10年股骨粗隆间骨折护理的可视化分析	韩君 高涛 龙换平 王卉芳 张婷婷 袁冰华	全科护理	2023-04-20	2	707	HTML阅读      CNKI AI阅读
468	吴茱萸汤研究热点及趋势可视化分析	夏青青 陈偶英 曾勇 王金星 康焱红 方芳 陈燕 李东雅 朱海利	中国中医药信息杂志	2023-04-19 11:02	5	698	HTML阅读      CNKI AI阅读
469	基于CiteSpace的中医药治疗肠梗阻近十年相关研究的知识图谱分析	隆采玲 张嘉文 熊航锋 陈飞 宋厚盼	世界科学技术-中医药现代化	2023-04-18 16:02	13	2148	HTML阅读      CNKI AI阅读
470	中医文化研究的热点、趋势与展望——基于CiteSpace的文献计量学研究（1992-2021）	魏俊彦 刘毅 张淼	世界科学技术-中医药现代化	2023-04-18 13:54	8	2284	HTML阅读      CNKI AI阅读
471	基于CiteSpace针灸干预孤独症谱系障碍可视化分析	伍雅妮 余婷 李仁洁 曾觉铭 李金香	中国现代医生	2023-04-18	1	256	HTML阅读      CNKI AI阅读
472	针灸数据挖掘的CiteSpace知识图谱可视化分析	杨金龙 郭文龙 王皓楷	甘肃高师学报	2023-04-15	1	345	HTML阅读      CNKI AI阅读
473	线上线下混合式教学在我国医学教学改革的研究热点和趋势分析	商杰森 程怀志 郭斌 陈东权 宋佳玮	中国卫生事业管理	2023-04-15	25	1105	HTML阅读      CNKI AI阅读
474	基于CiteSpace的新型冠状病毒肺炎患者情志研究的可视化分析	闫振东 杨佩颖	中国疗养医学	2023-04-13		257	HTML阅读      CNKI AI阅读
475	基于CiteSpace中医拔罐疗法研究热点的可视化分析	吴菲霞 裴金霞 朱翡翡	护理与康复	2023-04-11	1	645	HTML阅读      CNKI AI阅读
476	基于CiteSpace的中医药治疗糖尿病视网膜病变可视化分析	付忠梅 周琦 宿晓娟 张思媛 叶河江	中医眼耳鼻喉杂志	2023-04-11	1	236	HTML阅读      CNKI AI阅读
477	2000-2022年中医药调控骨代谢研究文献可视化分析	李浩林 雒扬 李伟青 王爱华 金芳梅 阚丽丽 杨娟娟 王海东	中国中医药信息杂志	2023-04-06 16:02	7	444	HTML阅读      CNKI AI阅读
478	基于CiteSpace中医治疗双心疾病可视化分析	莫凌 尹晓芳 周慧 鄢磊 肖长江	亚太传统医药	2023-04-05	2	544	HTML阅读      CNKI AI阅读
479	基于CiteSpace的推拿干预小儿厌食的可视化分析	冉真榕 魏佳佳 石奥利 杨婵娟 杨光静	全科护理	2023-03-29	3	551	HTML阅读      CNKI AI阅读
480	基于CiteSpace的中医药治疗功能性便秘的知识图谱可视化分析	徐文芳 钱海华 张丹	湖南中医杂志	2023-03-28	1	534	HTML阅读      CNKI AI阅读
481	基于CiteSpace的国内外刮痧疗法研究热点的可视化分析	梁闪 刘艳萍 秦元梅 王琳琳	中国疗养医学	2023-03-28	6	632	HTML阅读      CNKI AI阅读
482	基于CiteSpace的桂枝茯苓丸相关研究可视化分析	高朗 覃鹏 陈小芳 蔡政 邓兴华 李晓华 茶秀艳	中医药导报	2023-03-28	4	546	HTML阅读      CNKI AI阅读
483	基于CiteSpace的中药膏方研究现状可视化分析	王昭 吴晓龙 吕艳艳 王一朵	中医药导报	2023-03-28	5	538	HTML阅读      CNKI AI阅读
484	中医药治疗睡眠障碍的文献计量及可视化分析	徐利飞 李慧 陆素琴	山西中医药大学学报	2023-03-28	3	212	HTML阅读      CNKI AI阅读
485	基于Citespace的中医药用药规律数据挖掘领域相关文献分析	展志宏 戴国华	内蒙古中医药	2023-03-28	1	302	HTML阅读      CNKI AI阅读
486	基于Citespace的丹毒中医药研究知识图谱可视化分析	严继祥 董国伟	内蒙古中医药	2023-03-28	1	247	HTML阅读      CNKI AI阅读
487	中医药防治化疗性恶心呕吐的CiteSpace知识图谱分析	韩斯宇 廖秀秀 赵耀中 聂克	广东药科大学学报	2023-03-25	4	637	HTML阅读      CNKI AI阅读
488	基于知识图谱分析中医药诊治缺血性中风研究现状	丁昭 曹慧 刘胜京 宋文婷	中西医结合心脑血管病杂志	2023-03-25	2	243	HTML阅读      CNKI AI阅读
489	基于Citespace的国内外音乐疗法治疗失眠的研究状况及趋势可视化分析	杨涛 张佳妮 程灏 温川飙	世界科学技术-中医药现代化	2023-03-20 11:22	20	3430	HTML阅读      CNKI AI阅读
490	基于CiteSpace可视化分析近20年国人迟发性性腺功能减退症研究趋势	邹和德 陶怡 李柏霖 陈文康 刘寒飞 王瑞坤 赵家有	中国男科学杂志	2023-03-20	1	169	HTML阅读      CNKI AI阅读
491	基于知识图谱的中医药治疗泌尿系结石近20年临床现况调研	石兵 赵凡 崔宏亮 王省博 温瞿华 徐彦 张扬	东南国防医药	2023-03-20	4	151	HTML阅读      CNKI AI阅读
492	基于CiteSpace的慢性心力衰竭中医证候研究可视化分析	周毅 王代明 李小茜 何建成	时珍国医国药	2023-03-20	10	1171	HTML阅读      CNKI AI阅读
493	基于CiteSpace可视化分析阻塞性睡眠呼吸暂停低通气综合征的研究热点与趋势	李水秀 王至婉	世界科学技术-中医药现代化	2023-03-18 12:06	9	1338	HTML阅读      CNKI AI阅读
494	基于CiteSpace知识网络图谱的中医延续护理研究进展	谢小芬 路遥 杨鑫 刘汉娇	中医临床研究	2023-03-17 11:21	2	638	HTML阅读      CNKI AI阅读
495	基于CiteSpace的中医药治疗腰椎间盘突出症研究热点可视化分析	刘琴 陈锋 朱智涛 黄为 吴硕 韦宗波 李枝发	辽宁中医杂志	2023-03-17 08:13	3	1728	HTML阅读      CNKI AI阅读
496	基于CiteSpace软件的孙伟正教授学术研究知识图谱可视化分析	张丽琴 王金环 孙伟正 田飞 高明洁 赵齐	西部中医药	2023-03-15	1	360	HTML阅读      CNKI AI阅读
497	基于CiteSpace对2012—2021年我国糖尿病中医护理研究热点与趋势的文献计量分析	陈必慧 韩倩楠 傅涵 陈蕾 朱海利	中国医药科学	2023-03-15	3	614	HTML阅读      CNKI AI阅读
498	基于CiteSpace的乳腺癌合并焦虑、抑郁的知识图谱可视化分析	梅荷婷 卢雯平 张泽涵 崔永佳 吴晓晴	中国医药导报	2023-03-15	3	425	HTML阅读      CNKI AI阅读
499	中医外治法治疗失眠的研究热点及趋势的可视化分析（英文） OA	陈抒鹏 唐娜娜 王思梦 刘英华 张志勇 陈施宇	Digital Chinese Medicine	2023-03-15	4	535	原版阅读      CNKI AI阅读
500	近20余年中药复方随机、双盲、对照临床试验的文献计量分析	黄春霞 杨光 刘昱 白英哲 张晶晶	世界科学技术-中医药现代化	2023-03-11 08:23	2	905	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
501	基于Citespace的中医药治疗肾病综合征可视化分析	褚会敏 刁娟娟 潘月丽	世界科学技术-中医药现代化	2023-03-10 16:41	13	2138	HTML阅读      CNKI AI阅读
502	基于CiteSpace可视化分析穴位按摩研究热点趋势	刘雅 徐海霞 谢婷	中医药通报	2023-03-10	1	200	HTML阅读      CNKI AI阅读
503	基于CiteSpace对医学领域中证素研究的可视化分析	蒋欣琪 卢涛 王晶 张晓晴	辽宁中医杂志	2023-03-06 12:12	3	719	HTML阅读      CNKI AI阅读
504	结直肠癌领域的中医药研究现状、热点演化与整合展望——基于文献计量学的可视化图谱分析	谷珊珊 许云 杨宇飞	辽宁中医杂志	2023-03-06 10:00	4	858	HTML阅读      CNKI AI阅读
505	基于文献计量分析软件CiteSpace的揿针研究现状的可视化分析	林健 陈倩 吕丽琼 张芸 黎智燊	按摩与康复医学	2023-03-06	4	591	HTML阅读      CNKI AI阅读
506	基于CiteSpace的我国中医药医养结合研究分析	厉珺 胡振宇	互联网周刊	2023-03-05		447	HTML阅读      CNKI AI阅读
507	基于文献计量与知识图谱可视化的中医药治疗小儿肺炎研究热点分析	万润之 孙丽平 王延博 王书童 李雅馨	世界中医药	2023-03-01 18:05	7	859	HTML阅读      CNKI AI阅读
508	基于Citespace的中医药治疗小儿厌食可视化分析	景姬 李玉霞 张雪 高玮娇 高蕾	中国中医药图书情报杂志	2023-03-01	2	517	HTML阅读      CNKI AI阅读
509	基于文献可视化软件分析乳腺癌中医研究近10年发展现状	姚生旺 辛文 赵则达 刘非	基层医学论坛	2023-03-01	1	425	HTML阅读      CNKI AI阅读
510	近十年中医药干预银屑病研究现状与热点的CiteSpace知识图谱分析	邹慧琴 甄雪燕 闫军堂 冯蕙裳 卢建秋 丁胜云 郝素梅 黄英华 徐荣廷	中国中药杂志	2023-02-28 15:06	14	3159	HTML阅读      CNKI AI阅读
511	2000-2022年慢性心力衰竭血瘀证研究文献可视化分析	廉坤 郭瑾 李欣春 王菲 罗鹏 胡志希	中国中医药信息杂志	2023-02-28 10:30	8	584	HTML阅读      CNKI AI阅读
512	中医药领域阻塞性睡眠呼吸暂停相关研究的可视化分析	张明珠 杨一涵 赵巍 刘新桥	内蒙古中医药	2023-02-28	3	274	HTML阅读      CNKI AI阅读
513	基于CiteSpace穴位贴敷疗法治疗恶性肿瘤的可视化分析	佘峥娣 陈红涛 戴倩 洪文静 刘翔宇	中国当代医药	2023-02-28	1	371	HTML阅读      CNKI AI阅读
514	基于CiteSpace的我国近十年术后中医护理的可视化分析	张芳 包利红 方颖 车云霞 李维燕 张丽平	天津护理	2023-02-28	2	457	HTML阅读      CNKI AI阅读
515	血府逐瘀汤治疗冠心病可视化分析	吴浩南 李盈盈 刘思鸿 李想 唐丹丽	中国中医基础医学杂志	2023-02-28	17	1302	HTML阅读      CNKI AI阅读
516	基于CiteSpace中医药治疗小儿肺炎喘嗽的可视化分析	房鑫 周秀玲 刘琳 卿艳 金靖雅	中医药导报	2023-02-28	9	409	HTML阅读      CNKI AI阅读
517	基于CiteSpace的耳穴压豆治疗抑郁研究热点及趋势可视化分析	赖子唯 郭姣 李兵娇 龙舞	中国医药科学	2023-02-25	2	392	HTML阅读      CNKI AI阅读
518	中医疗法干预冠心病合并抑郁的文献计量学分析	祁祥 卢健棋 朱智德 温志浩 马威 蒋志雄	中西医结合心脑血管病杂志	2023-02-25	5	547	HTML阅读      CNKI AI阅读
519	基于中国知网的中医药防治糖尿病视网膜病变的CiteSpace知识图谱分析	刘春 张丽萍 吴晓筱 段俊国	中国医药导报	2023-02-25		364	HTML阅读      CNKI AI阅读
520	基于CiteSpace的中医药防治偏头痛的知识图谱分析	南淞华 彭超杰 庞伯通 陈芳芳 葛文静 崔应麟	中国医药导报	2023-02-25	4	331	HTML阅读      CNKI AI阅读
521	基于CiteSpace的中医方剂配伍规律数据挖掘研究现状与展望	王得科 石文 张静宇 门玉冉 陈洪苇 刘建玲	电脑知识与技术	2023-02-25	2	172	HTML阅读      CNKI AI阅读
522	基于Citespace与VOSviewer的中医药治疗慢传输型便秘文献计量分析	刘启鸿 柯晓 骆云丰	中医临床研究	2023-02-25	4	249	HTML阅读      CNKI AI阅读
523	基于CiteSpace银屑病中医药研究的知识图谱可视化分析 网络首发	李蝉秀 舒福 王昕 范琳 李忻红	云南民族大学学报(自然科学版)	2023-02-24 09:39		886	HTML阅读      CNKI AI阅读
524	基于CiteSpace的中医药治疗化疗后白细胞减少可视化分析	尹佳钰 吕欣妮 钱丽君 金梦洁 张振生 方志军	浙江中医药大学学报	2023-02-20	4	423	HTML阅读      CNKI AI阅读
525	中医关于抑郁症研究的CiteSpace可视化分析	何晨皓 王馨苑 孙付童语 王枫 谭曦	中国医药导报	2023-02-15	4	1436	HTML阅读      CNKI AI阅读
526	中医定向透药疗法研究现状与趋势的文献计量学可视化分析	林玉清 艾斌 黄莲铭	中国医药导刊	2023-02-15	13	493	HTML阅读      CNKI AI阅读
527	中医药治疗癌因性疲乏的文献计量学研究及文献知识图谱分析	王瑞 陈露 吴通 张彦华 段方方 孔天东	河南医学研究	2023-02-13	2	274	HTML阅读      CNKI AI阅读
528	基于CiteSpace知识网络图谱的中药复方量效关系可视化分析	付进杰 刘馨雅 郝征 宋文杰 傅延龄	中草药	2023-02-10 09:16	12	1562	原版阅读      CNKI AI阅读
529	基于Citespace的中医药治疗支原体肺炎可视化分析	许家雪 周旭 潘月丽	按摩与康复医学	2023-02-10	3	505	HTML阅读      CNKI AI阅读
530	基于CiteSpace的血府逐瘀汤相关领域研究的可视化分析	侯嘉辉 李亮平 马秀霞 孟鹏飞 郭娅娅 桑锋 侯思伟 陈玉 孙圣雨 杨瑞涵 徐立然	中医学报	2023-02-10	10	694	HTML阅读      CNKI AI阅读
531	基于CiteSpace的针灸治疗带状疱疹后遗神经痛可视化分析	张艺萱 杨蕊 张春畅 韩林	河南中医	2023-02-10	5	567	HTML阅读      CNKI AI阅读
532	近20年中医药治疗冠心病的知识图谱分析	葛亚如 晁田田 桓娜 孙敬辉 王承龙	中西医结合心脑血管病杂志	2023-02-10		302	HTML阅读      CNKI AI阅读
533	基于CiteSpace冠心病舌诊客观化知识图谱可视化分析	张继伟 李秋艳 张蕊 顾继昱 倪恬 张雪雪 唐威	世界科学技术-中医药现代化	2023-02-08 15:25	8	1387	HTML阅读      CNKI AI阅读
534	基于CiteSpace的中药“十八反“”十九畏”配伍的可视化分析	王迪 何庆勇 但文超 林巧	世界科学技术-中医药现代化	2023-02-06 08:45	5	1334	HTML阅读      CNKI AI阅读
535	基于CiteSpace的脑卒中恢复期护理研究可视化分析	党琼 朱伟娟 魏万霞 马彦苗 唐应翠 黄帅 陈霞 吴璠	医学信息	2023-02-01		279	HTML阅读      CNKI AI阅读
