	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
663	基于胆固醇吸收研究黄连吴茱萸降脂的配伍机制	魏宏	成都中医药大学	硕士	2017		180	原版阅读      CNKI AI阅读
664	盐酸小檗碱—甲氧苄啶复方缓释微球的制备及性质	孙宏晟	重庆大学	硕士	2017	4	406	原版阅读      CNKI AI阅读
665	藏药四味姜黄胶囊制备工艺及质量标准研究	周邦华	成都中医药大学	硕士	2017	5	297	原版阅读      CNKI AI阅读
666	小檗碱通过Sirt1改善3T3-L1脂肪细胞糖代谢的机制研究	梁舒	南京中医药大学	硕士	2017	5	622	原版阅读      CNKI AI阅读
667	黄柏碱抗ROS介导的氧化应激相关机制研究	李玲	西南大学	硕士	2017	21	523	原版阅读      CNKI AI阅读
668	新型微萃取方法的建立及其在黄连生物碱类化合物分析中的应用	王瑾	山西医科大学	硕士	2017		189	原版阅读      CNKI AI阅读
669	小檗碱对三转基因阿尔茨海默症小鼠的保护作用机制研究	梁宇彬	暨南大学	硕士	2017	4	316	原版阅读      CNKI AI阅读
670	益气解毒活络中药组分配伍对人肾小球系膜细胞损伤的保护作用研究	辛彩虹	辽宁中医药大学	博士	2017	4	295	原版阅读      CNKI AI阅读
671	小檗碱抑制EGFR/STAT3通路增加胃癌EGFR抑制剂敏感性的机制研究	王俊雄	首都医科大学	博士	2017	5	645	原版阅读      CNKI AI阅读
672	三才连梅颗粒毒性研究与临床疗效评价	郭强	成都中医药大学	博士	2017	4	287	原版阅读      CNKI AI阅读
673	疡必愈止痛胶囊制备工艺与质量标准的研究	陈叶童	湖南中医药大学	硕士	2017		52	原版阅读      CNKI AI阅读
674	小檗碱对糖尿病肾病大鼠的肾脏保护作用以及对大鼠肾脏AGEs-RAGE信号通路的影响	邱原野	安徽医科大学	硕士	2017	5	626	原版阅读      CNKI AI阅读
675	MATE1和BCRP转运体对于小檗碱在体内分布和排泄的影响	晓玲	中国科学院大学(中国科学院上海药物研究所)	硕士	2017		331	原版阅读      CNKI AI阅读
676	小檗碱对阿霉素所致心肌细胞损伤的保护作用研究	张倩	河北医科大学	硕士	2017	1	283	原版阅读      CNKI AI阅读
677	盐酸小檗碱对糖尿病大鼠胸主动脉TLR4及MCP-1表达影响的实验研究	刘瑞雪	河北医科大学	硕士	2017		128	原版阅读      CNKI AI阅读
678	小檗碱对糖尿病大鼠血管神经功能损伤的作用	刘帅	河北医科大学	硕士	2017	1	122	原版阅读      CNKI AI阅读
679	盐酸小檗碱对非酒精性脂肪性肝病大鼠肠道菌群影响的研究	齐双翡	河北医科大学	硕士	2017	9	542	原版阅读      CNKI AI阅读
680	小檗碱对脑梗死患者颈动脉粥样硬化斑块稳定性及血清基质金属蛋白酶-9、氧化低密度脂蛋白的影响	柴美静	承德医学院	硕士	2017	1	72	原版阅读      CNKI AI阅读
681	小檗碱对急性缺血型脑卒中的抗炎、抗颈部动脉粥样硬化的斑块的效应	李迎	承德医学院	硕士	2017	2	122	原版阅读      CNKI AI阅读
682	复方仙鹤草肠炎片的制备工艺及质量标准研究	董艳涛	辽宁中医药大学	硕士	2017		267	原版阅读      CNKI AI阅读
683	四味黄连洗剂制备工艺及质量标准研究	汪琛媛	安徽中医药大学	硕士	2017	3	668	原版阅读      CNKI AI阅读
684	盐酸小檗碱对食管癌细胞生物学功能的作用及其机制研究	姜淑娴	新乡医学院	硕士	2017	2	93	原版阅读      CNKI AI阅读
685	光谱分析在药物质量控制中的应用	阿依姑再丽·斯马依（Ayguzal·Ismayil）	新疆医科大学	硕士	2017		256	原版阅读      CNKI AI阅读
686	血尿安片药品质量标准研究	邓珏力	云南中医学院	硕士	2017	2	296	原版阅读      CNKI AI阅读
687	喜树碱、乌檀属、原小檗碱类生物碱及含八元环二倍半萜的全合成研究	李科	华东师范大学	博士	2017		606	原版阅读      CNKI AI阅读
688	四黄止痛喷雾剂的制备工艺及质量标准研究	李辉标	广州中医药大学	硕士	2016		439	原版阅读      CNKI AI阅读
689	四氢原小檗碱先导化合物左旋紫堇达明和左旋小檗红碱的临床前药代动力学研究	刘帅	中国人民解放军军事医学科学院	硕士	2016	1	317	原版阅读      CNKI AI阅读
690	四氢原小檗碱先导化合物l-SLR抗精神分裂症的药效学和机制研究	高赟赟	中国人民解放军军事医学科学院	硕士	2016		214	原版阅读      CNKI AI阅读
691	小檗碱对热应激体温的调节及其HSP70-TNFα表达的作用	姜敬非	清华大学	博士	2016	7	510	原版阅读      CNKI AI阅读
692	脑缺血再灌注损伤中小檗碱调节PPAR-γ表达的研究	庞雨浓	清华大学	博士	2016	3	360	原版阅读      CNKI AI阅读
693	烤烟种植专用植物复配剂百部、蛇床子、黄柏等组合的研究	陈远谷	贵州大学	硕士	2016	1	99	原版阅读      CNKI AI阅读
694	结核菌中药抗菌增效剂的筛选及黄连总生物碱对PhoPR双组份系统基因转录水平的影响	姜园园	吉林农业大学	硕士	2016	3	250	原版阅读      CNKI AI阅读
695	小檗碱抑制植物根生长的机理研究	吴娇	华南农业大学	硕士	2016	11	400	原版阅读      CNKI AI阅读
696	盐酸小檗碱磷脂复合物壳聚糖微球的研究	史真	河南大学	硕士	2016	8	640	原版阅读      CNKI AI阅读
697	盐酸小檗碱对猪胸膜肺炎放线杆菌作用机制的研究	李正文	四川农业大学	硕士	2016	5	290	原版阅读      CNKI AI阅读
698	荆芥炭对黄连及白头翁汤主要成分药代动力学影响的研究	何燕飞	安徽农业大学	硕士	2016	1	304	原版阅读      CNKI AI阅读
699	基于ZnS量子点的光学传感平台设计研究及应用	李欢欢	山西大学	硕士	2016		128	原版阅读      CNKI AI阅读
700	艾舒阴洗剂的制备工艺与质量标准研究	蔡君龙	湖北中医药大学	硕士	2016	4	525	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
701	复方黄柏妇炎胶囊的制备工艺及质量标准研究	李媛媛	湖北中医药大学	硕士	2016	4	485	原版阅读      CNKI AI阅读
702	马黄涂膜剂的制备及透皮吸收研究	任佳佳	山东中医药大学	硕士	2016	9	703	原版阅读      CNKI AI阅读
703	抗骨溶解中药单体筛选及圣草酚、木犀草苷、硫酸小檗碱对破骨细胞作用机制研究	宋方茗	广西医科大学	博士	2016	3	241	原版阅读      CNKI AI阅读
704	Ⅰ、小檗碱上调肝脏低密度脂蛋白受体mRNA表达的信号通路研究 Ⅱ、小檗碱类似物Y53在糖尿病小鼠体内抗炎、抗氧化和预防糖尿病肾病的作用研究	李峥	北京协和医学院	博士	2016	6	1017	原版阅读      CNKI AI阅读
705	小檗碱通过α7烟碱样胆碱能受体相关的胆碱能抗炎通路改善2型糖尿病大鼠胰岛素抵抗的分子机制	王定坤	华中科技大学	博士	2016	2	615	原版阅读      CNKI AI阅读
706	从单核细胞免疫防御及菌株敏感性探讨抗阿萨希毛孢子菌感染的策略	丛林	第三军医大学	博士	2016	1	151	原版阅读      CNKI AI阅读
707	小檗碱对流感病毒感染巨噬细胞NLRP3炎性体的影响	陈丹军	北京中医药大学	硕士	2016	2	92	原版阅读      CNKI AI阅读
708	中药复方洁泽1号对HSV-2感染VK2/E6E7细胞模型的作用及其机制初探	乔婷婷	华中科技大学	硕士	2016	1	211	原版阅读      CNKI AI阅读
709	小檗碱改善胰岛素抵抗作用分子机制的研究	李芬	华中科技大学	硕士	2016	9	310	原版阅读      CNKI AI阅读
710	基于ESI-HRMS的G-四链体DNA相关超分子化学研究	耿建瑞	郑州大学	硕士	2016	2	85	原版阅读      CNKI AI阅读
711	关黄柏对照提取物的制备工艺及质量标准研究	石柳柳	苏州大学	硕士	2016	1	364	原版阅读      CNKI AI阅读
712	温性经筋通贴膏质量标准提高及体外透皮性能研究	刘桂联	广州中医药大学	硕士	2016	9	430	原版阅读      CNKI AI阅读
713	基于药代动力学研究黄连丸治疗2型糖尿病的配伍	贺梦云	湖南师范大学	硕士	2016	3	424	原版阅读      CNKI AI阅读
714	CAFs诱导肠上皮细胞表型改变及中药单体的干预作用	张凌杭	广州中医药大学	硕士	2016	2	214	原版阅读      CNKI AI阅读
715	黄马缓释喷膜剂的研制	高倩	重庆医科大学	硕士	2016	9	347	原版阅读      CNKI AI阅读
716	重庆道地药材黄连的炮制关键工艺及质量标准研究	陈凯	重庆医科大学	硕士	2016	3	608	原版阅读      CNKI AI阅读
717	新型细胞膜色谱的建立及黄连黄精配伍药效物质的初步研究	武晓丹	天津医科大学	硕士	2016	4	483	原版阅读      CNKI AI阅读
718	小檗碱对游离脂肪酸损伤的胰岛βTC3细胞的保护作用	张娟	第四军医大学	硕士	2016	4	174	原版阅读      CNKI AI阅读
719	雷公藤多苷联合小檗碱对糖尿病大鼠肾脏JAK/STAT通路的作用	厉莉	天津医科大学	硕士	2016	5	263	原版阅读      CNKI AI阅读
720	小檗碱合并利培酮对精神分裂症患者血清BDNF、CRP及认知功能影响研究	张静	天津医科大学	硕士	2016	3	138	原版阅读      CNKI AI阅读
721	中药复方当归六黄汤质量控制研究和XEDJ药效学研究	计雅纯	华中科技大学	硕士	2016	8	453	原版阅读      CNKI AI阅读
722	傣药雅解沙把和中药苦参的抗过敏作用研究	张光远	云南中医学院	硕士	2016	7	372	原版阅读      CNKI AI阅读
723	小檗碱对非酒精性脂肪变性肝细胞模型的作用及机制研究	刘燕妮	北京中医药大学	硕士	2016	11	1048	原版阅读      CNKI AI阅读
724	知柏地黄丸（浓缩丸）质量分析研究	谢惠英	河南中医药大学	硕士	2016	3	431	原版阅读      CNKI AI阅读
725	荧光碳量子点的合成及在药物分析中的应用研究	梁佳曼	西南大学	硕士	2016	12	723	原版阅读      CNKI AI阅读
726	黄连须及其主要生物碱对非特异性免疫及鲤鱼抗病力的影响	周霞	西南大学	硕士	2016	20	426	原版阅读      CNKI AI阅读
727	Apelin基因的表达规律及其在脂肪代谢中的调控作用	何莉	山西师范大学	硕士	2016	4	131	原版阅读      CNKI AI阅读
728	选择性识别生物重要分子的荧光探针的合成及其生物活性	董承	南方医科大学	硕士	2016	3	325	原版阅读      CNKI AI阅读
729	从Leptin-AMPK调脂通路研究黄连吴茱萸配伍降血脂作用机制	林晶晶	成都中医药大学	硕士	2016	2	213	原版阅读      CNKI AI阅读
730	粉体改性技术用于盐酸小檗碱及三黄片制剂处方苦味掩蔽研究	何婧	成都中医药大学	硕士	2016	3	532	原版阅读      CNKI AI阅读
731	小檗碱对DSS结肠炎小鼠保护作用的研究	王新	广东药科大学	硕士	2016	9	559	原版阅读      CNKI AI阅读
732	芦丁、小檗碱对代谢综合征大鼠的药效学研究	熊淑娉	广州中医药大学	硕士	2016	2	338	原版阅读      CNKI AI阅读
733	盐酸小檗碱对草鱼补体C3作用机理及药代动力学研究	彭耀宗	西南大学	硕士	2016	2	331	原版阅读      CNKI AI阅读
734	TLC-SERS法在黄连等中药鉴别中的应用研究	陈艳琼	江苏大学	硕士	2016	5	484	原版阅读      CNKI AI阅读
735	小檗碱通过SIRT1途径抑制巨噬细胞炎症反应的机制研究	徐传翀	南京中医药大学	硕士	2016	5	480	原版阅读      CNKI AI阅读
736	黄地安消胶囊的提取工艺及质量控制研究	单莉	安徽中医药大学	硕士	2016		285	原版阅读      CNKI AI阅读
737	壳聚糖微/纳米粒子对小檗碱肠吸收特性的影响研究	侯子言	安徽中医药大学	硕士	2016		303	原版阅读      CNKI AI阅读
738	乏氧诱导因子-1α抑制剂盐酸小檗碱和蜂毒肽对乏氧肿瘤细胞放射敏感性的影响及机制研究	杨曦	南京医科大学	博士	2016	5	416	原版阅读      CNKI AI阅读
739	三黄泻心汤有效成分溶出规律研究	傅丹青	浙江中医药大学	硕士	2016	1	132	原版阅读      CNKI AI阅读
740	小檗碱对糖尿病肾病大鼠肾脏的保护作用及对足细胞PI3K/Akt通路的影响	丁海华	安徽医科大学	硕士	2016	7	559	原版阅读      CNKI AI阅读
741	小檗碱通过JAK2/STAT3信号通路抑制内质网应激对大鼠心肌缺血再灌注损伤的保护作用研究	赵国龙	宁夏医科大学	硕士	2016	7	339	原版阅读      CNKI AI阅读
742	小檗碱对糖尿病大鼠胃肠神经功能损伤的作用机制研究	梁红玉	河北医科大学	硕士	2016		127	原版阅读      CNKI AI阅读
743	双花百合片多指标成分含量测定及大鼠体内药动学的研究	张寿吉	大连医科大学	硕士	2016		79	原版阅读      CNKI AI阅读
744	壳聚糖衍生物纳米粒的制备及特性研究	单璐	潍坊医学院	硕士	2016	5	421	原版阅读      CNKI AI阅读
745	盐酸小檗碱滴丸的制备及其对乳鼠心肌细胞肥大的保护作用	任欣	吉林大学	硕士	2015	1	524	原版阅读      CNKI AI阅读
746	前列安胶囊制备工艺及质量标准研究	唐安福	南京中医药大学	硕士	2015	3	299	原版阅读      CNKI AI阅读
747	溶胶—凝胶法在织物功能整理中的应用研究	孙晓竹	东华大学	博士	2015	8	692	原版阅读      CNKI AI阅读
748	中药单体小檗碱克服慢性粒细胞白血病对伊马替尼的耐药性及其机制研究	丰茂晓	暨南大学	硕士	2015	2	230	原版阅读      CNKI AI阅读
749	糖胰康颗粒的制备工艺与质量标准研究	郑振秋	山东中医药大学	硕士	2015	2	414	原版阅读      CNKI AI阅读
750	复方苦参止痢片的研制	曾以旺	山东中医药大学	硕士	2015	5	228	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
751	盐酸小檗碱对动脉粥样硬化大鼠血脂及磷脂转运蛋白的影响	吕医瑞	山西医科大学	硕士	2015	1	139	原版阅读      CNKI AI阅读
752	盐酸小檗碱临床前吸收药代动力学研究	方春雪	吉林大学	硕士	2015	1	380	原版阅读      CNKI AI阅读
753	光照条件对小檗碱抑藻效应的影响及其机制初探	张媛媛	天津农学院	硕士	2015		123	原版阅读      CNKI AI阅读
754	黄连水提液和小檗碱的细胞毒性及其机制研究	顾曼曼	安徽农业大学	硕士	2015	5	430	原版阅读      CNKI AI阅读
755	小檗碱对TGF-β1诱导A549细胞上皮间质转化和MRC-5细胞转分化及细胞信号通路相关蛋白的影响	任志涛	北京协和医学院	硕士	2015	4	569	原版阅读      CNKI AI阅读
756	核酸适配体/小檗碱荧光体系的构筑及分析应用	陈艳霞	山西大学	硕士	2015		186	原版阅读      CNKI AI阅读
757	超声促渗和化学促渗对黄柏透皮吸收影响研究	王尧鸣	山西大学	硕士	2015		384	原版阅读      CNKI AI阅读
758	黄连膏治疗毛囊炎及其机制探讨	付辰	湖北中医药大学	硕士	2015	4	519	原版阅读      CNKI AI阅读
759	连虎丹烧伤膏的药学研究	张锐	佳木斯大学	硕士	2015		260	原版阅读      CNKI AI阅读
760	抗新生仔猪腹泻制剂的研制及临床疗效的研究	杨帆	东北农业大学	硕士	2015	3	367	原版阅读      CNKI AI阅读
761	抗无乳链球菌中药的筛选及盐酸小檗碱抗无乳链球菌作用机理的初步研究	彭练慈	四川农业大学	硕士	2015	14	434	原版阅读      CNKI AI阅读
762	红栀骨通凝胶膏剂的研制	吴飞	广州中医药大学	硕士	2015	1	431	原版阅读      CNKI AI阅读
763	盐酸小檗碱对脂多糖所致巨噬细胞炎症的抗炎作用及其机制研究	朱喜梅	广州中医药大学	硕士	2015	26	1456	原版阅读      CNKI AI阅读
764	基于生物药剂学分类系统的葛根芩连方中小檗碱的溶解渗透属性研究	朱美玲	北京中医药大学	硕士	2015	10	861	原版阅读      CNKI AI阅读
765	基于3S技术的黄连区划研究	柳鑫	湖北中医药大学	硕士	2015	12	362	原版阅读      CNKI AI阅读
766	中药成分小檗碱抗肿瘤新生血管形成作用的研究	刘岩	湖北中医药大学	硕士	2015	4	249	原版阅读      CNKI AI阅读
767	淫羊藿苷和盐酸小檗碱通过改变肝脏Hepcidin表达调节铁平衡	张淼	中国中医科学院	硕士	2015	2	347	原版阅读      CNKI AI阅读
768	盐酸小檗碱对T2DM大鼠肠道菌群及血内毒素水平的影响	贺娅莎	山西医科大学	硕士	2015	9	579	原版阅读      CNKI AI阅读
769	左金丸对地塞米松致大鼠胃肠道损伤的保护作用研究	李晨	青岛大学	硕士	2015	8	257	原版阅读      CNKI AI阅读
770	小檗碱协同甘丙肽降低2型糖尿病鼠脂肪组织胰岛素抵抗的实验研究	张真稳	扬州大学	博士	2015	3	423	原版阅读      CNKI AI阅读
771	小檗碱通过调控巨噬细胞极化抑制FAP的机制研究	朴美玉	天津医科大学	博士	2015		141	原版阅读      CNKI AI阅读
772	小檗碱对压力超负荷诱导大鼠心肌肥厚的作用及机制研究	李明慧	南京医科大学	博士	2015	8	315	原版阅读      CNKI AI阅读
773	小檗碱干预大鼠糖尿病及葫芦巴丸干预大鼠糖尿病性功能障碍的部分机制研究	姜淑君	华中科技大学	博士	2015	2	381	原版阅读      CNKI AI阅读
774	复方白头翁颗粒的研制及其药效学研究	葛冰	中国农业大学	博士	2015	17	1420	原版阅读      CNKI AI阅读
775	中药品质整合评价方法研创——以黄连为例	熊吟	北京中医药大学	博士	2015	18	1943	原版阅读      CNKI AI阅读
776	基于凋亡与抗凋亡机制探讨降糖消渴颗粒清热燥湿组分对小鼠胰岛瘤细胞的影响	方心	北京中医药大学	博士	2015	2	437	原版阅读      CNKI AI阅读
777	“寒热错杂”动物模型的建立和“附子—黄连”药对对模型大鼠影响的研究	刘梦婷	浙江中医药大学	硕士	2015	1	212	原版阅读      CNKI AI阅读
778	肿瘤相关巨噬细胞表型转化在小檗碱防治肠道肿瘤中的作用	何娜娜	天津医科大学	硕士	2015	1	73	原版阅读      CNKI AI阅读
779	黄连花薹对高血糖大鼠肠道菌群作用的研究	王雯玲	华中科技大学	硕士	2015	15	490	原版阅读      CNKI AI阅读
780	黄连内生真菌中小檗碱的分离与鉴定	向建辉	西北农林科技大学	硕士	2015	7	389	原版阅读      CNKI AI阅读
781	乌锦颗粒剂的制备与药效毒理学研究	李胜坤	中国农业科学院	硕士	2015	8	655	原版阅读      CNKI AI阅读
782	肠道菌作用下小檗碱体内药代动力学及头花蓼活性成分代谢特征研究	何驰宇	北京协和医学院	硕士	2015	16	2420	原版阅读      CNKI AI阅读
783	三种生物碱对大鼠股动脉内膜增生的干预作用研究	尹雯	中央民族大学	硕士	2015	1	85	原版阅读      CNKI AI阅读
784	小檗碱干预CXCL12/CXCR4轴抑制结直肠癌侵袭转移的作用及其可能机制的初步探索	付健健	昆明医科大学	硕士	2015	3	216	原版阅读      CNKI AI阅读
785	喜树碱和盐酸小檗碱在离子液体中的溶解性能及应用研究	刘师师	广西大学	硕士	2015	2	237	原版阅读      CNKI AI阅读
786	中兽药丹连花子宫灌注液的质量标准研究	高媛媛	西北农林科技大学	硕士	2015	4	258	原版阅读      CNKI AI阅读
787	小檗碱对大鼠自体原位肝脏移植肠损伤的影响	刘文娜	天津医科大学	硕士	2015	1	51	原版阅读      CNKI AI阅读
788	基于核磁共振与质谱技术解析博落回果荚中生物碱的结构	卿志星	湖南中医药大学	硕士	2015	12	646	原版阅读      CNKI AI阅读
789	基于ACCE连续逆流提取器的黄柏中小檗碱高效提取工艺和综合利用研究	季可可	湖南中医药大学	硕士	2015	1	444	原版阅读      CNKI AI阅读
790	交泰丸在正常和PCPA失眠大鼠的药动学和PK-PD结合模型研究	何薇	广州中医药大学	硕士	2015	7	1020	原版阅读      CNKI AI阅读
791	小檗碱对卵巢摘除小鼠的抗抑郁作用及其机制研究	赵静	东北师范大学	硕士	2015	8	283	原版阅读      CNKI AI阅读
792	黄连生物碱及8-烷基小檗碱衍生物对嗜水气单胞菌抑菌机制的研究	薛东芳	西南大学	硕士	2015	24	600	原版阅读      CNKI AI阅读
793	小檗碱对糖尿病肾病大鼠足细胞黏附功能的影响和机制研究	陆文松	暨南大学	硕士	2015	3	146	原版阅读      CNKI AI阅读
794	干姜对黄连中五种主要生物碱药代动力学的影响	宁浩辰	哈尔滨商业大学	硕士	2015	6	386	原版阅读      CNKI AI阅读
795	葫芦脲和某些药物分子的超分子作用及其分析应用	李燕	山西师范大学	硕士	2015		174	原版阅读      CNKI AI阅读
796	黄连碱的提取分离和减肥活性及机理研究	夏爽	西南大学	硕士	2015	9	821	原版阅读      CNKI AI阅读
797	2,2-联吡啶链接的小檗碱二聚体的合成及其对金属离子和DNA的选择性荧光检测	李欢欢	南方医科大学	硕士	2015	2	202	原版阅读      CNKI AI阅读
798	青海小檗属3种植物小檗碱含量的比较研究	向前胜	青海大学	硕士	2015	8	256	原版阅读      CNKI AI阅读
799	小檗碱对巨噬细胞极化的调节作用	吴阳阳	广州中医药大学	硕士	2015	2	203	原版阅读      CNKI AI阅读
800	小檗碱通过抑制脂肪组织巨噬细胞浸润改善胰岛素抵抗的研究	郭超	南京中医药大学	硕士	2015	5	472	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
801	狭叶十大功劳抑菌物质分离及其对水稻细菌性条斑病的防治作用	周荣金	广西大学	硕士	2015	4	267	原版阅读      CNKI AI阅读
802	香蔹痔疮栓的药学研究	罗悦	成都中医药大学	硕士	2015	1	235	原版阅读      CNKI AI阅读
803	小檗碱对NAFLD大鼠肝组织AMPK/SIRT1/UCP2通路的调控机制	林春梅	暨南大学	硕士	2015	4	423	原版阅读      CNKI AI阅读
804	小檗碱对NAFLD大鼠肝组织Nrf2-ARE信号通路mRNA及蛋白表达的影响	张金文	暨南大学	硕士	2015	3	255	原版阅读      CNKI AI阅读
805	配伍肉桂醛对盐酸小檗碱在快速动眼睡眠剥夺大鼠血液与脑组织分布的影响	熊志明	广州中医药大学	硕士	2015	13	459	原版阅读      CNKI AI阅读
806	小檗碱与葛根素的合成以及急性毒性、相关药效学研究	张磊	广州中医药大学	硕士	2015	4	545	原版阅读      CNKI AI阅读
807	TGF β1诱导乳鼠结肠上皮组织细胞表型转变及中药干预作用	付道时	广州中医药大学	硕士	2015	1	177	原版阅读      CNKI AI阅读
808	苦柏洁阴栓的研制	孙志强	山东中医药大学	硕士	2015	2	301	原版阅读      CNKI AI阅读
809	黄连须和小檗碱对草鱼出血病的预防作用及其机理	牟绍霞	西南大学	硕士	2015	10	214	原版阅读      CNKI AI阅读
810	黄连水煎液中固体微粒及乙基纤维素纳米粒对小檗碱肠吸收特性影响的研究	焦放	安徽中医药大学	硕士	2016	4	306	原版阅读      CNKI AI阅读
811	8-烷基小檗碱的合成及减肥作用研究	王燕枝	西南大学	硕士	2015	3	273	原版阅读      CNKI AI阅读
812	痺苓袪痛颗粒的制备工艺及质量控制研究	李瑛	安徽中医药大学	硕士	2015	1	211	原版阅读      CNKI AI阅读
813	8-十六烷基小檗碱的合成和药代动力学研究	胡宇莉	西南大学	博士	2015	6	313	原版阅读      CNKI AI阅读
814	哈医祛风巴布膏的制备	古丽娜儿·叶尔森那力（Gulnar Yersennale）	新疆医科大学	硕士	2015		84	原版阅读      CNKI AI阅读
815	多波长高效液相色谱法测定清热类中药复方制剂有效成分含量的研究	郗洋	河北医科大学	硕士	2015	1	256	原版阅读      CNKI AI阅读
816	多指标分析方法在精制冠心颗粒等8种中药复方制剂质量控制方面的应用研究	姜晖	河北医科大学	硕士	2015	2	286	原版阅读      CNKI AI阅读
817	前列安颗粒提取工艺的优化及主要成分在大鼠体内药代动力学研究	梁振江	河北医科大学	硕士	2015		118	原版阅读      CNKI AI阅读
818	清热抗毒口服液制备工艺研究及其质量标准的建立	杨静	河北医科大学	硕士	2015		853	原版阅读      CNKI AI阅读
819	盐酸小檗碱对NAFLD大鼠肠黏膜屏障的保护性研究	李东浩	河北医科大学	硕士	2015	12	504	原版阅读      CNKI AI阅读
820	盐酸小檗碱对慢性脑缺血大鼠认知功能的改善作用	李志红	郑州大学	硕士	2015	12	333	原版阅读      CNKI AI阅读
821	小檗碱对糖尿病肾病大鼠肾脏保护作用及对肾小球系膜细胞前列腺素EP1受体信号通路的调控	倪伟建	安徽医科大学	硕士	2015	1	439	原版阅读      CNKI AI阅读
822	应用大鼠急性痛风性关节炎和高尿酸血症模型研究三妙丸方中牛膝“引药下行”作用	吴娟	安徽医科大学	硕士	2015	29	851	原版阅读      CNKI AI阅读
823	盐酸小檗碱对急性脑梗死患者血清尿酸及同型半胱氨酸水平的影响	刘微微	大连医科大学	硕士	2015	1	90	原版阅读      CNKI AI阅读
824	白头翁颗粒的制备及其药效学研究	张颖	吉林大学	硕士	2014	3	820	原版阅读      CNKI AI阅读
825	消积止泻颗粒的研制及质量标准研究	段文强	山东中医药大学	硕士	2014	2	507	原版阅读      CNKI AI阅读
826	小檗碱及其衍生物抗痛风作用研究	刘悦	佳木斯大学	硕士	2014	19	728	原版阅读      CNKI AI阅读
827	几种原小檗碱类生物碱与G-四链体结构相互作用的研究	郝润	北京工业大学	博士	2014	4	733	原版阅读      CNKI AI阅读
828	多成分环境对中药口服吸收影响的评价方法研究	李和伟	北京中医药大学	博士	2014	20	1593	原版阅读      CNKI AI阅读
829	表小檗碱体内外生物代谢反应研究	叶静	北京中医药大学	硕士	2014	3	336	原版阅读      CNKI AI阅读
830	小檗碱对多囊卵巢综合征女性卵巢睾酮水平以及糖代谢的影响	庄冰洁	黑龙江中医药大学	硕士	2014		60	原版阅读      CNKI AI阅读
831	小檗碱对GSK3β过表达的中国仓鼠卵巢细胞甾体激素合成能力的影响	刘丽萍	黑龙江中医药大学	硕士	2014		50	原版阅读      CNKI AI阅读
832	风痛安胶囊质量标准的研究	付俊美	哈尔滨商业大学	硕士	2014		179	原版阅读      CNKI AI阅读
833	黄连和小檗碱对三种体外培养细胞毒性的初步研究	刘腾飞	安徽农业大学	硕士	2014	6	248	原版阅读      CNKI AI阅读
834	高磺基丙氨酸神经毒性机制及中药单体小檗碱拮抗作用的研究	谭敏	广州中医药大学	硕士	2014	2	282	原版阅读      CNKI AI阅读
835	大肠癌变过程中microRNA、DNA甲基转移酶的相互调控及中药干预	吴丽云	广州中医药大学	硕士	2014	8	347	原版阅读      CNKI AI阅读
836	盐酸小檗碱在罗非鱼体内药代动力学及残留研究	秦青英	广东海洋大学	硕士	2014	8	317	原版阅读      CNKI AI阅读
837	射干等鲜药材的产地初加工工艺研究	何艳君	湖南农业大学	硕士	2014	5	466	原版阅读      CNKI AI阅读
838	硫酸小檗碱对铜绿微囊藻的活性及其作用机理	王欣	华中农业大学	硕士	2014	2	393	原版阅读      CNKI AI阅读
839	白屈菜总生物碱提取工艺和质量控制的研究	马宁	黑龙江中医药大学	硕士	2014	6	809	原版阅读      CNKI AI阅读
840	超高压提取法、一测多评法和对照提取物法在关黄柏中的应用研究	刘顺	苏州大学	硕士	2014	13	777	原版阅读      CNKI AI阅读
841	小檗碱与抗肿瘤药的增效作用研究	曹阳	福建中医药大学	硕士	2014	8	741	原版阅读      CNKI AI阅读
842	小檗碱联合多柔比星抗肿瘤作用的机制研究	宋霞	福建中医药大学	硕士	2014	5	454	原版阅读      CNKI AI阅读
843	烧伤愈合膏新剂型水凝胶的临床前研究	徐彬	湖北中医药大学	硕士	2014	3	771	原版阅读      CNKI AI阅读
844	小檗碱的肠道菌群生物转化研究	李梦	上海交通大学	硕士	2014	24	1110	原版阅读      CNKI AI阅读
845	一清系列制剂标准统一规范化研究	杨希	湖北中医药大学	硕士	2014	2	487	原版阅读      CNKI AI阅读
846	基于肠易激综合征模型的戊己丸药代动力学研究	巩仔鹏	中国中医科学院	博士	2014	5	635	原版阅读      CNKI AI阅读
847	黄连素治疗糖尿病肾病疗效和安全性的评价—荟萃分析	姚金铭	山东中医药大学	硕士	2014		385	原版阅读      CNKI AI阅读
848	盐酸小檗碱/蒙脱石复合散的研究	孙萌	山东中医药大学	硕士	2014	2	252	原版阅读      CNKI AI阅读
849	血清IL-18在大鼠IR发生发展过程中的变化及小檗碱对其影响的研究	段丹波	山西医科大学	硕士	2014		105	原版阅读      CNKI AI阅读
